,U.S.,30 yr,U.S.,15 yr,U.S.,5/1 ARM,U.S.,30 yr FRM/,
,30 yr,fees &,15 yr,fees &,1-May,fees &,5/1 ARM,5/1 ARM,
Week,FRM,points,FRM,points,ARM,points,margin,spread,
1/7/2021,2.65,0.7,2.16,0.6,2.75,0.3,2.75,-0.1,
1/14/2021,2.79,0.7,2.23,0.7,3.12,0.4,2.75,-0.33,
1/21/2021,2.77,0.7,2.21,0.6,2.8,0.4,2.75,-0.03,
1/28/2021,2.73,0.7,2.2,0.6,2.8,0.3,2.75,-0.07,
2/4/2021,2.73,0.7,2.21,0.6,2.78,0.3,2.75,-0.05,
2/11/2021,2.73,0.7,2.19,0.6,2.79,0.2,2.75,-0.06,
2/18/2021,2.81,0.7,2.21,0.7,2.77,0.2,2.75,0.04,
2/25/2021,2.97,0.6,2.34,0.6,2.99,0.1,2.75,-0.02,
3/4/2021,3.02,0.6,2.34,0.7,2.73,0.3,2.75,0.29,
3/11/2021,3.05,0.6,2.38,0.6,2.77,0.3,2.75,0.28,
3/18/2021,3.09,0.7,2.4,0.7,2.79,0.3,2.75,0.3,
3/25/2021,3.17,0.7,2.45,0.6,2.84,0.2,2.75,0.33,
4/1/2021,3.18,0.7,2.45,0.6,2.84,0.3,2.75,0.34,
4/8/2021,3.13,0.7,2.42,0.6,2.92,0.1,2.75,0.21,
4/15/2021,3.04,0.7,2.35,0.7,2.8,0.4,2.75,0.24,
4/22/2021,2.97,0.7,2.29,0.6,2.83,0.3,2.75,0.14,
4/29/2021,2.98,0.7,2.31,0.7,2.64,0.3,2.75,0.34,
5/6/2021,2.96,0.6,2.3,0.6,2.7,0.3,2.75,0.26,
5/13/2021,2.94,0.7,2.26,0.6,2.59,0.3,2.75,0.35,
5/20/2021,3,0.6,2.29,0.7,2.59,0.3,2.75,0.41,
5/27/2021,2.95,0.7,2.27,0.6,2.59,0.2,2.75,0.36,
6/3/2021,2.99,0.6,2.27,0.6,2.64,0.2,2.75,0.35,
6/10/2021,2.96,0.7,2.23,0.6,2.55,0.2,2.75,0.41,
6/17/2021,2.93,0.7,2.24,0.6,2.52,0.3,2.75,0.41,
6/24/2021,3.02,0.7,2.34,0.7,2.53,0.3,2.75,0.49,
7/1/2021,2.98,0.6,2.26,0.7,2.54,0.3,2.75,0.44,
7/8/2021,2.9,0.6,2.2,0.7,2.52,0.2,2.75,0.38,
7/15/2021,2.88,0.7,2.22,0.6,2.47,0.3,2.75,0.41,
7/22/2021,2.78,0.7,2.12,0.7,2.49,0.4,2.75,0.29,
7/29/2021,2.8,0.7,2.1,0.7,2.45,0.3,2.75,0.35,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,, 
